category,bfs,municipality,provider,price
Typ II,1630,Glarus Nord,Energie Zürichsee Linth AG,9.14
Typ II,1630,Glarus Nord,Technische Betriebe Glarus Nord,10.30
Typ II,1631,Glarus Süd,Technische Betriebe Glarus,11.14
Typ II,1632,Glarus,Technische Betriebe Glarus,11.14
Typ II,3001,Herisau,Säntis Energie AG,8.59
Typ II,3007,Waldstatt,Säntis Energie AG,8.59
Typ II,3022,Gais,GRAVAG Erdgas AG,9.60
Typ II,3031,Grub (AR),GRAVAG Erdgas AG,9.60
Typ II,3031,Grub (AR),GRAVAG Erdgas AG,9.60
Typ II,3032,Heiden,GRAVAG Erdgas AG,9.60
Typ II,3033,Lutzenberg,GRAVAG Erdgas AG,9.60
Typ II,3034,Rehetobel,GRAVAG Erdgas AG,9.60
Typ II,3035,Reute (AR),GRAVAG Erdgas AG,9.60
Typ II,3036,Wald (AR),GRAVAG Erdgas AG,9.60
Typ II,3037,Walzenhausen,GRAVAG Erdgas AG,9.60
Typ II,3038,Wolfhalden,GRAVAG Erdgas AG,9.60
Typ II,3101,Appenzell,GRAVAG Erdgas AG,9.60
Typ II,3111,Oberegg,GRAVAG Erdgas AG,9.60
Typ II,3203,St.Gallen,Sankt Galler Stadtwerke,8.78
Typ II,3204,Wittenbach,Sankt Galler Stadtwerke,8.78
Typ II,3212,Eggersriet,GRAVAG Erdgas AG,9.60
Typ II,3213,Goldach,GRAVAG Erdgas AG,9.60
Typ II,3213,Goldach,Technische Betriebe GoldachErdgasversorgung,8.24
Typ II,3214,Mörschwil,Sankt Galler Stadtwerke,8.78
Typ II,3215,Rorschach,GRAVAG Erdgas AG,9.60
Typ II,3215,Rorschach,Sankt Galler Stadtwerke,8.78
Typ II,3216,Rorschacherberg,GRAVAG Erdgas AG,9.60
Typ II,3217,Steinach,Sankt Galler Stadtwerke,8.78
Typ II,3231,Au (SG),GRAVAG Erdgas AG,9.60
Typ II,3232,Balgach,GRAVAG Erdgas AG,9.60
Typ II,3233,Berneck,GRAVAG Erdgas AG,9.60
Typ II,3234,Diepoldsau,GRAVAG Erdgas AG,9.60
Typ II,3235,Rheineck,GRAVAG Erdgas AG,9.60
Typ II,3236,St.Margrethen,GRAVAG Erdgas AG,9.60
Typ II,3236,St.Margrethen,Technische Betriebe Wil,6.90
Typ II,3237,Thal,GRAVAG Erdgas AG,9.60
Typ II,3238,Widnau,GRAVAG Erdgas AG,9.60
Typ II,3251,Altstätten,GRAVAG Erdgas AG,9.60
Typ II,3252,Eichberg,GRAVAG Erdgas AG,9.60
Typ II,3253,Marbach (SG),GRAVAG Erdgas AG,9.60
Typ II,3254,Oberriet (SG),GRAVAG Erdgas AG,9.60
Typ II,3255,Rebstein,GRAVAG Erdgas AG,9.60
Typ II,3271,Buchs (SG),Säntis Energie AG,8.59
Typ II,3272,Gams,GRAVAG Erdgas AG,9.60
Typ II,3273,Grabs,GRAVAG Erdgas AG,9.60
Typ II,3274,Sennwald,GRAVAG Erdgas AG,9.60
Typ II,3275,Sevelen,Säntis Energie AG,8.59
Typ II,3276,Wartau,Säntis Energie AG,8.59
Typ II,3291,Bad Ragaz,EVS Erdgasversorgung Sarganserland AG,8.64
Typ II,3292,Flums,EVS Erdgasversorgung Sarganserland AG,8.64
Typ II,3293,Mels,EVS Erdgasversorgung Sarganserland AG,8.64
Typ II,3296,Sargans,EVS Erdgasversorgung Sarganserland AG,8.64
Typ II,3297,Vilters-Wangs,EVS Erdgasversorgung Sarganserland AG,8.64
Typ II,3312,Benken (SG),Energie Zürichsee Linth AG,9.14
Typ II,3313,Kaltbrunn,EVK Elektrizitätsversorgung Kaltbrunn AG,9.90
Typ II,3315,Schänis,Energieversorgung Schänis AG,10.20
Typ II,3338,Schmerikon,Energie Zürichsee Linth AG,9.14
Typ II,3339,Uznach,Energie Zürichsee Linth AG,9.14
Typ II,3340,Rapperswil-Jona,Energie Zürichsee Linth AG,9.14
Typ II,3342,Eschenbach (SG),Energie Zürichsee Linth AG,9.14
Typ II,3352,Ebnat-Kappel,Säntis Energie AG,8.59
Typ II,3374,Lichtensteig,Säntis Energie AG,8.59
Typ II,3379,Wattwil,Säntis Energie AG,8.59
Typ II,3392,Kirchberg (SG),Technische Betriebe Wil,6.90
Typ II,3393,Lütisburg,Säntis Energie AG,8.59
Typ II,3395,Bütschwil-Ganterschwil,Säntis Energie AG,8.59
Typ II,3401,Degersheim,Technische Betriebe Flawil,8.88
Typ II,3402,Flawil,Technische Betriebe Flawil,8.88
Typ II,3405,Jonschwil,Dorfkorporation Schwarzenbach,7.44
Typ II,3407,Oberuzwil,Technische Betriebe Uzwil,8.71
Typ II,3408,Uzwil,Technische Betriebe Uzwil,8.71
Typ II,3423,Niederhelfenschwil,Technische Betriebe Wil,6.90
Typ II,3424,Oberbüren,Technische Betriebe Uzwil,8.71
Typ II,3426,Zuzwil (SG),Technische Betriebe Wil,6.90
Typ II,3427,Wil (SG),Technische Betriebe Wil,6.90
Typ II,3443,Gossau (SG),Stadtwerke Gossau,8.51
Typ II,4401,Arbon,Gasversorgung Romanshorn AG,9.40
Typ II,4401,Arbon,Sankt Galler Stadtwerke,8.78
Typ II,4411,Egnach,Gasversorgung Neukirch-Egnach,9.32
Typ II,4416,Hefenhofen,Gasversorgung Romanshorn AG,9.40
